# packages in environment at /soft/applications/conda/2026-09-17/mconda3:
#
# Name                                      Version                           Build                  Channel
distributed                                 2026.8.0                          pypi_0                 pypi
distro                                      1.9.0                             pyhd8ed1ab_1           conda-forge
dm-tree                                     0.1.10                            pypi_0                 pypi
dnspython                                   2.8.0                             pypi_0                 pypi
docopt-ng                                   0.9.0                             pypi_0                 pypi
docstring-parser                            0.18.0                            pypi_0                 pypi
docutils                                    0.23                              pypi_0                 pypi
einops                                      0.8.2                             pypi_0                 pypi
email-validator                             2.3.0                             pypi_0                 pypi
epoxy                                       1.5.10                            hb03c661_2             conda-forge
etils                                       1.14.0                            pypi_0                 pypi
evalidate                                   2.0.5                             pyhe01879c_0           conda-forge
evaluate                                    0.4.6                             pypi_0                 pypi
exceptiongroup                              1.3.1                             pypi_0                 pypi
executing                                   2.2.1                             pypi_0                 pypi
ezpz                                        0.8.0                             pypi_0                 pypi
falkon                                      0.9.0                             pypi_0                 pypi
fastapi                                     0.136.3                           pypi_0                 pypi
fastapi-cli                                 0.0.32                            pypi_0                 pypi
fastapi-cloud-cli                           0.26.0                            pypi_0                 pypi
fastar                                      0.12.0                            pypi_0                 pypi
fastjsonschema                              2.22.2                            pypi_0                 pypi
fastsafetensors                             0.4.0                             pypi_0                 pypi
filelock                                    3.32.6                            pyhd8ed1ab_0           conda-forge
fire                                        0.7.1                             pypi_0                 pypi
flash-attn                                  2.8.3.post1                       pypi_0                 pypi
flashinfer-jit-cache                        0.6.18+cu130                      pypi_0                 pypi
flashinfer-python                           0.6.18                            pypi_0                 pypi
flatbuffers                                 25.12.19                          pypi_0                 pypi
flax                                        0.12.9                            pypi_0                 pypi
fmt                                         12.1.0                            h76c4fd7_1             conda-forge
font-ttf-dejavu-sans-mono                   2.37                              hab24e00_0             conda-forge
font-ttf-inconsolata                        3.000                             h77eed37_0             conda-forge
font-ttf-source-code-pro                    2.038                             h77eed37_0             conda-forge
font-ttf-ubuntu                             0.83                              h77eed37_3             conda-forge
fontconfig                                  2.18.3                            h4db4eae_1             conda-forge
fonts-conda-ecosystem                       1                                 0                      conda-forge
fonts-conda-forge                           1                                 hc364b38_1             conda-forge
fonttools                                   4.65.0                            pypi_0                 pypi
fqdn                                        1.5.1                             pypi_0                 pypi
freetype                                    2.14.3                            ha770c72_2             conda-forge
fribidi                                     1.0.16                            h7cc23a3_2             conda-forge
frozendict                                  2.4.7                             pyh851646a_2           conda-forge
frozenlist                                  1.8.0                             pypi_0                 pypi
fsspec                                      2026.6.0                          pypi_0                 pypi
future                                      1.0.0                             pyhd8ed1ab_2           conda-forge
gast                                        0.7.0                             pypi_0                 pypi
gcsfs                                       2026.7.0                          pypi_0                 pypi
gdk-pixbuf                                  2.44.8                            h68053f1_2             conda-forge
gest-api                                    0.2                               pypi_0                 pypi
git-lfs                                     3.8.0                             h2c09266_0             conda-forge
gitdb                                       4.0.12                            pypi_0                 pypi
gitpython                                   3.1.62                            pypi_0                 pypi
glib-tools                                  2.90.0                            h3d503d9_0             conda-forge
globus-compute-common                       0.7.1                             pypi_0                 pypi
globus-compute-endpoint                     4.9.0                             pypi_0                 pypi
globus-compute-sdk                          4.9.0                             pypi_0                 pypi
globus-identity-mapping                     0.5.0                             pypi_0                 pypi
globus-sdk                                  4.9.0                             pypi_0                 pypi
google-api-core                             2.37.0                            pypi_0                 pypi
google-auth                                 2.58.0                            pypi_0                 pypi
google-auth-oauthlib                        1.4.1                             pypi_0                 pypi
google-cloud-core                           2.7.0                             pypi_0                 pypi
google-cloud-storage                        3.14.1                            pypi_0                 pypi
google-cloud-storage-control                1.15.0                            pypi_0                 pypi
google-crc32c                               1.8.0                             pypi_0                 pypi
google-pasta                                0.2.0                             pypi_0                 pypi
google-resumable-media                      2.10.2                            pypi_0                 pypi
googleapis-common-protos                    1.75.3                            pypi_0                 pypi
gpytorch                                    1.15.2                            pypi_0                 pypi
graphemeu                                   0.7.2                             pypi_0                 pypi
graphite2                                   1.3.15                            h54a6638_1             conda-forge
graphviz                                    0.21                              pypi_0                 pypi
grpc-google-iam-v1                          0.14.5                            pypi_0                 pypi
grpcio                                      1.84.0                            pypi_0                 pypi
grpcio-status                               1.84.0                            pypi_0                 pypi
gtk3                                        3.24.52                           ha5ea40c_0             conda-forge
gts                                         0.7.6                             h977cf35_4             conda-forge
gviz-api                                    1.10.0                            pypi_0                 pypi
h11                                         0.16.0                            pyhcf101f3_1           conda-forge
h2                                          4.4.1                             pyhcf101f3_0           conda-forge
h5py                                        3.14.0                            pypi_0                 pypi
harfbuzz                                    14.4.0                            ha770c72_1             conda-forge
hf-xet                                      1.6.0                             pypi_0                 pypi
hicolor-icon-theme                          0.17                              ha770c72_3             conda-forge
hiredis                                     3.4.1                             pypi_0                 pypi
hjson                                       3.1.0                             pypi_0                 pypi
hpack                                       4.2.0                             pyhd8ed1ab_0           conda-forge
httpcore                                    1.0.9                             pyh29332c3_0           conda-forge
httpcore2                                   2.13.0                            pypi_0                 pypi
httptools                                   0.8.0                             pypi_0                 pypi
httpx                                       0.28.1                            pyhd8ed1ab_0           conda-forge
httpx2                                      2.13.0                            pypi_0                 pypi
