# packages in environment at /soft/applications/conda/2025-09-24/mconda3:
#
# Name                                Version                                      Build                  Channel
docopt-ng                             0.9.0                                        pypi_0                 pypi
docstring-parser                      0.17.0                                       pypi_0                 pypi
einops                                0.8.1                                        pypi_0                 pypi
email-validator                       2.3.0                                        pypi_0                 pypi
epoxy                                 1.5.10                                       hb03c661_2             conda-forge
etils                                 1.13.0                                       pypi_0                 pypi
evalidate                             2.0.5                                        pyhe01879c_0           conda-forge
evaluate                              0.4.6                                        pypi_0                 pypi
executing                             2.2.1                                        pypi_0                 pypi
expecttest                            0.3.0                                        pypi_0                 pypi
ezpz                                  0.8.0                                        pypi_0                 pypi
falkon                                0.9.0                                        pypi_0                 pypi
fastapi                               0.118.0                                      pypi_0                 pypi
fastapi-cli                           0.0.13                                       pypi_0                 pypi
fastapi-cloud-cli                     0.2.1                                        pypi_0                 pypi
fastjsonschema                        2.21.2                                       pypi_0                 pypi
fastrlock                             0.8.3                                        pypi_0                 pypi
filelock                              3.19.1                                       pyhd8ed1ab_0           conda-forge
flash-attn                            2.8.3                                        pypi_0                 pypi
flashinfer-python                     0.3.1                                        pypi_0                 pypi
flatbuffers                           25.9.23                                      pypi_0                 pypi
flax                                  0.12.0                                       pypi_0                 pypi
fmt                                   11.1.4                                       h07f6e7f_1             conda-forge
font-ttf-dejavu-sans-mono             2.37                                         hab24e00_0             conda-forge
font-ttf-inconsolata                  3.000                                        h77eed37_0             conda-forge
font-ttf-source-code-pro              2.038                                        h77eed37_0             conda-forge
font-ttf-ubuntu                       0.83                                         h77eed37_3             conda-forge
fontconfig                            2.15.0                                       h7e30c49_1             conda-forge
fonts-conda-ecosystem                 1                                            0                      conda-forge
fonts-conda-forge                     1                                            0                      conda-forge
fonttools                             4.60.1                                       pypi_0                 pypi
fqdn                                  1.5.1                                        pypi_0                 pypi
freetype                              2.14.1                                       ha770c72_0             conda-forge
fribidi                               1.0.16                                       hb03c661_0             conda-forge
frozendict                            2.4.6                                        py312h66e93f0_0        conda-forge
frozenlist                            1.7.0                                        pypi_0                 pypi
fsspec                                2025.9.0                                     pypi_0                 pypi
future                                1.0.0                                        pyhd8ed1ab_2           conda-forge
gast                                  0.6.0                                        pypi_0                 pypi
gcsfs                                 2025.9.0                                     pypi_0                 pypi
gdk-pixbuf                            2.44.3                                       h2b0a6b4_0             conda-forge
genson                                1.3.0                                        pypi_0                 pypi
gguf                                  0.17.1                                       pypi_0                 pypi
gitdb                                 4.0.12                                       pypi_0                 pypi
gitpython                             3.1.45                                       pypi_0                 pypi
glib-tools                            2.86.0                                       hf516916_0             conda-forge
google-api-core                       2.25.1                                       pypi_0                 pypi
google-auth                           2.41.1                                       pypi_0                 pypi
google-auth-oauthlib                  1.2.2                                        pypi_0                 pypi
google-cloud-core                     2.4.3                                        pypi_0                 pypi
google-cloud-storage                  3.4.0                                        pypi_0                 pypi
google-crc32c                         1.7.1                                        pypi_0                 pypi
google-pasta                          0.2.0                                        pypi_0                 pypi
google-resumable-media                2.7.2                                        pypi_0                 pypi
googleapis-common-protos              1.70.0                                       pypi_0                 pypi
gpytorch                              1.14                                         pypi_0                 pypi
graphemeu                             0.7.2                                        pypi_0                 pypi
graphite2                             1.3.14                                       hecca717_2             conda-forge
graphviz                              0.21                                         pypi_0                 pypi
greenlet                              3.2.4                                        pypi_0                 pypi
grpcio                                1.75.1                                       pypi_0                 pypi
gtk3                                  3.24.43                                      h021d004_4             conda-forge
gts                                   0.7.6                                        h977cf35_4             conda-forge
gviz-api                              1.10.0                                       pypi_0                 pypi
h11                                   0.16.0                                       pypi_0                 pypi
h2                                    4.2.0                                        pyhd8ed1ab_0           conda-forge
h5netcdf                              1.6.4                                        pypi_0                 pypi
h5py                                  3.14.0                                       pypi_0                 pypi
harfbuzz                              12.1.0                                       h15599e2_0             conda-forge
hf-transfer                           0.1.9                                        pypi_0                 pypi
hf-xet                                1.1.10                                       pypi_0                 pypi
hicolor-icon-theme                    0.17                                         ha770c72_2             conda-forge
hiredis                               3.2.1                                        pypi_0                 pypi
hjson                                 3.1.0                                        pypi_0                 pypi
hpack                                 4.1.0                                        pyhd8ed1ab_0           conda-forge
httpcore                              1.0.9                                        pypi_0                 pypi
httptools                             0.6.4                                        pypi_0                 pypi
httpx                                 0.28.1                                       pypi_0                 pypi
huggingface-hub                       0.35.3                                       pypi_0                 pypi
humanfriendly                         10.0                                         pypi_0                 pypi
humanize                              4.13.0                                       pypi_0                 pypi
hydra-colorlog                        1.2.0                                        pypi_0                 pypi
hydra-core                            1.3.2                                        pypi_0                 pypi
hyperframe                            6.1.0                                        pyhd8ed1ab_0           conda-forge
icu                                   75.1                                         he02047a_0             conda-forge
